#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1051
#Date Time: 2022-12-04 15:44:12.413
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X

Time (s),Channel 1 (V),Channel 2 (V)
-0.00512,0.2711387469991905,-0.1510639670681777
-0.00511875,0.2657211540165154,-0.1443463020611535
-0.0051175,0.2748633421747767,-0.1386362868051799
-0.00511625,0.2680913509464358,-0.1319186217981587
-0.005115,0.2809581342802894,-0.1248650735407833
-0.00511375,0.2724931452448593,-0.1174756420330567
-0.0051125,0.2647053553322637,-0.1121015100274374
-0.00511125,0.2653825544550978,-0.1037044287686609
-0.00511,0.2626737579637606,-0.09866618001338896
-0.00510875,0.2694457491921033,-0.0919485150063611
-0.0051075,0.266736952700767,-0.08388731699793574
-0.00510625,0.2708001474377764,-0.07784141849161121
-0.005105,0.2775721386661174,-0.07179551998529218
-0.00510375,0.2680913509464358,-0.06440608847756556
-0.0051025,0.2691071496306874,-0.05735254022019015
-0.00510125,0.2721545456834422,-0.0519784082145708
-0.0051,0.2718159461220251,-0.04391721020614543
-0.00509875,0.276894939543283,-0.03854307820052241
-0.0050975,0.2775721386661146,-0.03014599694173941
-0.00509625,0.2714773465606078,-0.02410009843542038
-0.005095,0.2721545456834469,-0.01738243342839297
-0.00509375,0.2826511320873754,-0.01032888517102078
-0.0050925,0.2748633421747798,-0.003275336913645368
-0.00509125,0.2758791408590309,0.002434678342322603
-0.00509,0.2674141518236013,0.01015999310040303
-0.00508875,0.2704615478763548,0.01788530785847734
-0.0050875,0.2741861430519454,0.02191590686269537
-0.00508625,0.2741861430519457,0.03031298812147852
-0.005085,0.2748633421747798,0.0366947698781486
-0.00508375,0.2775721386661174,0.04374831813552401
-0.0050825,0.2724931452448593,0.050130099892197
-0.00508125,0.2714773465606078,0.05684776489922119
-0.00508,0.2738475434905271,0.06490896290764657
-0.00507875,0.2694457491921046,0.06961132841256717
-0.0050775,0.2721545456834409,0.07700075992029043
-0.00507625,0.271815946122025,0.08371842492731799
-0.005075,0.274524742613362,0.0911078564350475
-0.00507375,0.2731703443676938,0.09748963819171759
-0.0050725,0.2748633421747798,0.1038714199483906
-0.00507125,0.2697843487535218,0.1089096687036587
-0.00507,0.2670755522621842,0.118986166214195
-0.00506875,0.2633509570865967,0.1250320647205141
-0.0050675,0.2653825544550982,0.1297344302254337
-0.00506625,0.2647053553322648,0.136787978482813
-0.005065,0.2670755522621842,0.1451850597415894
-0.00506375,0.2657211540165178,0.1502233084968603
-0.0050625,0.2711387469991905,0.1562692070031793
-0.00506125,0.273508943929111,0.1643304050116083
-0.00506,0.2738475434905281,0.1710480700186325
-0.00505875,0.2741861430519454,0.1777657350256567
-0.0050575,0.2741861430519454,0.1828039837809226
-0.00505625,0.2731703443676938,0.1898575320383003
-0.005055,0.2684299505078551,0.1969110802956786
-0.00505375,0.2731703443676938,0.2032928620523487
-0.0050525,0.2752019417362008,0.2100105270593755
-0.00505125,0.283666930771627,0.2157205423153434
-0.00505,0.268429950507853,0.2231099738230701
-0.00504875,0.2697843487535211,0.2308352885811444
-0.0050475,0.266736952700767,0.2365453038371185
-0.00504625,0.2708001474377715,0.2422553190930865
-0.005045,0.2765563399818657,0.2489729841001132
-0.00504375,0.2738475434905294,0.2563624156078421
-0.0050425,0.2765563399818657,0.261400664363108
-0.00504125,0.2826511320873754,0.2687900958708346
-0.00504,0.2762177404204486,0.2751718776275076
-0.00503875,0.2752019417361969,0.280546009633127
-0.0050375,0.2691071496306902,0.2892789741422545
-0.00503625,0.2721545456834422,0.2936454563968242
-0.005035,0.2772335391046978,0.3003631214038453
-0.00503375,0.273508943929111,0.3060731366598189
-0.0050325,0.2741861430519458,0.3124549184164953
-0.00503125,0.2752019417361969,0.3198443499242185
-0.00503,0.2775721386661174,0.3258902484305403
-0.00502875,0.266736952700767,0.3312643804361596
-0.0050275,0.2691071496306874,0.3396614616949399
-0.00502625,0.2691071496306874,0.3440279439495036
-0.005025,0.268429950507853,0.3507456089565298
-0.00502375,0.2674141518236024,0.3571273907132057
-0.0050225,0.2697843487535218,0.3635091724698758
-0.00502125,0.267414151823606,0.3692191877258488
-0.00502,0.2775721386661174,0.3745933197314657
-0.00501875,0.2738475434905281,0.3816468679888411
-0.0050175,0.2762177404204486,0.3870209999944605
-0.00501625,0.2687685500692701,0.3937386650014847
-0.005015,0.2714773465606066,0.3994486802574527
-0.00501375,0.2721545456834422,0.4051586955134258
-0.0050125,0.2718159461220267,0.4105328275190484
-0.00501125,0.2755405412976142,0.4175863757764206
-0.00501,0.2785879373503684,0.4232963910323936
-0.00500875,0.2772335391047002,0.4286705230380105
-0.0050075,0.2704615478763562,0.4353881880450347
-0.00500625,0.2674141518236013,0.4400905535499516
-0.005005,0.2660597535779325,0.4471441018073271
-0.00500375,0.2647053553322644,0.452854117063295
-0.0050025,0.2724931452448593,0.4578923658185658
-0.00500125,0.2724931452448607,0.4636023810745391
-0.005,0.2755405412976142,0.4696482795808581
-0.00499875,0.2728317448062766,0.4753582948368287
-0.0049975,0.2816353334031237,0.4800606603417456
-0.00499625,0.2782493377889518,0.487114208599121
-0.004995,0.2714773465606108,0.4918165741040358
-0.00499375,0.2708001474377734,0.4965189396089549
